,name,price
0,boAt Airdopes 131 Bluetooth Headset,"₹1,049"
1,realme Buds Wireless 2 with Dart Charge and Active Nois...,"₹2,299"
2,boAt Rockerz 255F Pro+ Bluetooth Headset,"₹1,499"
3,boAt Bassheads 100 Wired Headset,₹399
4,realme Buds Q Bluetooth Headset,"₹1,499"
5,realme Buds 2 Wired Headset,₹599
6,Boult Audio AirBass Combuds Bluetooth Headset,₹899
7,Noise Air Buds Mini Truly Wireless Bluetooth Headset,"₹1,199"
8,boAt Airdopes 402 Bluetooth Headset,"₹1,299"
9,CatBull In-ear Bluetooth Headset,₹187
10,REDMI Earbuds 2C Bluetooth Headset,"₹1,499"
11,OnePlus Buds Z Bluetooth Headset,"₹2,699"
12,boAt Airdopes 402 Bluetooth Headset,"₹1,299"
13,realme Buds Wireless Bluetooth Headset,"₹1,599"
14,boAt Airdopes 131 Bluetooth Headset,₹999
15,boAt Airdopes 381 with ASAP charge Bluetooth Headset,"₹1,499"
16,boAt Bassheads 242 Wired Headset,₹449
17,Noise Air Buds Mini Truly Wireless Bluetooth Headset,"₹1,199"
18,realme Buds Air 2 with Active Noise Cancellation (ANC) ...,"₹3,299"
19,Jack Klein Wireless Earbuds With Charging Box Bluetooth...,₹399
20,Boult Audio BassBuds Storm Wired Headset,₹299
21,SKYTOP classy Bluetooth Earphones Bluetooth Headset,₹399
22,DIZO (by realme TechLife) GoPods D Bluetooth Headset,"₹1,399"
23,boAt Bassheads 242 Wired Headset,₹449
24,boAt Airdopes 381 with ASAP charge Bluetooth Headset,"₹1,499"
25,Boult Audio Bassbuds X1 Wired Headset,₹299
26,realme Buds Classic RMA2001 Wired Earphones with HD Mic...,₹399
27,boAt Bassheads 242 Wired Headset,₹449
28,boAt Bassheads 242 Wired Headset,₹449
29,boAt Airdopes 381 with ASAP charge Bluetooth Headset,"₹1,499"
30,boAt Bassheads 242 Wired Headset,₹449
31,Wings Phantom Gaming TWS with 65 ms Latency Bluetooth H...,"₹1,999"
32,OnePlus Buds Z Bluetooth Headset,"₹2,699"
33,PHILIPS SHE1505BK/94 Rich Bass Wired Headset,₹289
34,boAt Rockerz 255F Pro+ Bluetooth Headset,"₹1,499"
35,Mivi DuoPods M20 True Wireless Bluetooth Headset,₹899
36,realme Buds Wireless Bluetooth Headset,"₹1,599"
37,boAt Airdopes 131 Bluetooth Headset,"₹1,049"
38,boAt Airdopes 402 Bluetooth Headset,"₹1,299"
39,Mi TWS 2C Bluetooth Headset,"₹2,499"
