,Unnamed: 0,name,price
0,0,realme Buds Wireless 2 with Dart Charge and Active Nois...,2299.0
1,1,realme Buds Wireless 2 with Dart Charge and Active Nois...,2299.0
2,2,boAt Rockerz 255F Pro+ Bluetooth Headset,1499.0
3,3,boAt Bassheads 100 Wired Headset,399.0
4,4,boAt Airdopes 131 Bluetooth Headset,1049.0
5,5,realme Buds Q Bluetooth Headset,1499.0
6,6,Noise Air Buds Mini Truly Wireless Bluetooth Headset,1199.0
7,7,Boult Audio AirBass Combuds Bluetooth Headset,899.0
8,8,realme Buds 2 Wired Headset,599.0
9,9,boAt Airdopes 402 Bluetooth Headset,1299.0
10,10,CatBull In-ear Bluetooth Headset,187.0
11,11,REDMI Earbuds 2C Bluetooth Headset,1499.0
12,12,realme Buds Wireless Bluetooth Headset,1599.0
13,13,Jack Klein Wireless Earbuds With Charging Box Bluetooth...,399.0
14,14,boAt Airdopes 402 Bluetooth Headset,1299.0
15,15,boAt Airdopes 131 Bluetooth Headset,999.0
16,16,boAt Bassheads 242 Wired Headset,449.0
17,17,boAt Airdopes 381 with ASAP charge Bluetooth Headset,1499.0
18,18,Noise Air Buds Mini Truly Wireless Bluetooth Headset,1199.0
19,19,OnePlus Buds Z Bluetooth Headset,2699.0
20,20,OnePlus Buds Z Bluetooth Headset,2699.0
21,21,Boult Audio BassBuds Storm Wired Headset,299.0
22,22,SKYTOP classy Bluetooth Earphones Bluetooth Headset,399.0
23,23,boAt Airdopes 381 with ASAP charge Bluetooth Headset,1499.0
24,24,DIZO (by realme TechLife) GoPods D Bluetooth Headset,1399.0
25,25,boAt Bassheads 242 Wired Headset,449.0
26,26,realme Buds 2 Wired Headset,599.0
27,27,boAt Bassheads 242 Wired Headset,449.0
28,28,realme Buds Classic RMA2001 Wired Earphones with HD Mic...,399.0
29,29,realme Buds Air 2 with Active Noise Cancellation (ANC) ...,3299.0
30,30,boAt Bassheads 242 Wired Headset,449.0
31,31,Wings Phantom Gaming TWS with 65 ms Latency Bluetooth H...,1999.0
32,32,boAt Airdopes 381 with ASAP charge Bluetooth Headset,1499.0
33,33,boAt Bassheads 242 Wired Headset,449.0
34,34,boAt Airdopes 131 Bluetooth Headset,1049.0
35,35,PHILIPS SHE1505BK/94 Rich Bass Wired Headset,289.0
36,36,boAt Rockerz 255F Pro+ Bluetooth Headset,1499.0
37,37,Mivi DuoPods M20 True Wireless Bluetooth Headset,899.0
38,38,realme Buds Wireless Bluetooth Headset,1599.0
39,39,boAt Airdopes 402 Bluetooth Headset,1299.0
